fi;psi;Ã1;Ã2;Ò1;Ò2
0;0;0;0;0;0
2,034;0,969;-0,355;-0,354;0,645444612;0,645555976
4,067;1,938;-0,355;-0,353;0,644805362;0,645250962
6,101;2,904;-0,356;-0,352;0,643737669;0,644740814
8,134;3,868;-0,358;-0,351;0,642238117;0,644022827
10,168;4,828;-0,360;-0,349;0,640301906;0,643093174
12,201;5,783;-0,362;-0,347;0,637922845;0,641946872
14,235;6,732;-0,365;-0,344;0,635093332;0,640577723
16,269;7,675;-0,368;-0,340;0,631804337;0,638978258
18,302;8,610;-0,372;-0,336;0,62804538;0,637139655
20,336;9,536;-0,376;-0,332;0,623804507;0,635051643
22,369;10,453;-0,381;-0,327;0,619068263;0,632702393
24,403;11,359;-0,386;-0,322;0,613821663;0,630078386
26,436;12,254;-0,392;-0,316;0,608048168;0,627164261
28,470;13,136;-0,398;-0,309;0,601729656;0,623942636
